word,meaning,option1,option2,option3,Ginger,River,Sigma
ELOQUENT,雄辯的,口齒不清的,沉默的,笨拙的,0,0,0
METICULOUS,細心的,粗心的,馬虎的,隨便的,0,0,0
PARADIGM,典範,模式,範例,標準,0,0,0
SCRUTINIZE,仔細檢查,忽視,瀏覽,略過,0,0,0
ARBITRARY,任意的,有規則的,固定的,確定的,0,0,0
AMBIGUOUS,模糊的,清楚的,明確的,確定的,0,0,0
PRAGMATIC,實用的,理想的,空想的,不切實際的,0,0,0
BENEVOLENT,仁慈的,殘酷的,惡意的,冷酷的,0,0,0
INNOVATION,創新,傳統,守舊,因循,0,0,0
RESILIENCE,韌性,脆弱,軟弱,無力,0,0,0
SYNTHESIS,綜合,分析,分解,拆散,0,0,0
AESTHETIC,美學的,醜陋的,難看的,粗俗的,0,0,0
INTEGRITY,正直,腐敗,虛偽,欺騙,0,0,0
ENIGMATIC,神秘的,明顯的,清晰的,淺顯的,0,0,0
CATALYST,催化劑,阻礙,障礙,抑制,0,0,0
ABSTRACT,抽象的,具體的,實際的,真實的,0,0,0
COGNITIVE,認知的,感官的,情感的,直覺的,0,0,0
PARADIGM,範例,偏差,異常,例外,0,0,0
HIERARCHY,階層,平等,同級,均等,0,0,0
EMPIRICAL,實證的,理論的,假設的,推測的,0,0,0
HYPOTHESIS,假設,事實,真理,定律,0,0,0
ALGORITHM,演算法,公式,方程式,計算,0,0,0
PHILOSOPHY,哲學,科學,藝術,宗教,0,0,0
QUANTUM,量子,巨大,龐大,無限,0,0,0
DYNASTY,王朝,共和,民主,獨裁,0,0,0
RHETORIC,修辭,平實,直白,樸素,0,0,0
EQUILIBRIUM,平衡,失衡,傾斜,偏差,0,0,0
IMPLICIT,隱含的,明確的,清楚的,顯著的,0,0,0
LUCRATIVE,有利可圖的,虧本的,賠錢的,無利的,0,0,0
UBIQUITOUS,無所不在的,罕見的,稀有的,稀少的,0,0,0
