word,meaning,option1,option2,option3,Ginger,River,Sigma
A,一(個),菜,老虎,蘋果,0,0,0
A FEW,一些,紅色,二,馬,0,0,0
A LITTLE,一些,很小,走,跑,0,0,0
A LOT,許多,醫院,老虎,母親,0,0,0
ABLE,能夠…的,工作,一月,壞的,0,0,0
ABOUT,關於,米飯,喝,熊,0,0,0
ABOVE,在…上方,藍色,爺爺,圖書館,0,0,0
ABROAD,在國外,學校,橘色,看,0,0,0
ACROSS,在…對面,公園,麵包,五,0,0,0
ACTRESS,女演員,鳥,星期二,工作,0,0,0
AFRAID,害怕的,聽,粉紅色,冷的,0,0,0
AFTER,在…之後,黑色,明天,工作,0,0,0
AFTERNOON,下午,鳥,傷心的,水果,0,0,0
AGAIN,再一次,早上,麵包,七,0,0,0
AGE,年齡,阿姨,晚上,熱的,0,0,0
AGO,以前,家,狗,大的,0,0,0
AGREE,同意,車站,爺爺,黑色,0,0,0
AHEAD,在前方,魚,紅色,冷的,0,0,0
AIR,空氣,馬,聽,快樂的,0,0,0
AIRPLANE,飛機,魚,牛奶,黑色,0,0,0
AIRPORT,機場,四,三,餐廳,0,0,0
ALL,全部的,叔叔,十,銀行,0,0,0
ALMOST,幾乎,三,跑,魚,0,0,0
ALONG,沿著,兄弟,七,魚,0,0,0
ALREADY,已經,好的,老虎,冷的,0,0,0
ALSO,也,下午,工作,麵包,0,0,0
ALWAYS,總是,阿姨,明天,紅色,0,0,0
AM,上午,獅子,家,叔叔,0,0,0
AMERICA,美國,好的,喝,吃,0,0,0
AMERICAN,美國人/美國的,黑色,貓,早上,0,0,0
AND,和,工作,紫色,魚,0,0,0
ANGRY,生氣的,馬,牛奶,吃,0,0,0
ANIMAL,動物,爺爺,公園,看,0,0,0
ANOTHER,另一個的,魚,熊,粉紅色,0,0,0
ANSWER,回答,喝,馬,今天,0,0,0
ANT,螞蟻,阿姨,車站,一,0,0,0
ANY,任何的,聽,米飯,星期二,0,0,0
ANYONE,任何人,魚,工作,老虎,0,0,0
ANYTHING,任何事物,九,跑,魚,0,0,0
APARTMENT,公寓,米飯,星期一,兒子,0,0,0
APPEAR,出現,麵包,快樂的,跑,0,0,0
APPLE,蘋果,冷的,兄弟,馬,0,0,0
APRIL,四月,熊,市場,鳥,0,0,0
ARM,手臂,四,跑,鳥,0,0,0
AROUND,在…四周,星期二,商店,中午,0,0,0
ARRIVE,到達,晚上,老虎,舊的,0,0,0
ART,美術,市場,貓,女兒,0,0,0
AS,與…一樣,女兒,新的,肉,0,0,0
ASK,問,下午,兄弟,餐廳,0,0,0
AT,在,新的,紅色,灰色,0,0,0
AUGUST,八月,晚上,貓,昨天,0,0,0
AUNT,伯(叔)母,學習,二,喝,0,0,0
AUTUMN,秋天,阿姨,蘋果,工作,0,0,0
AWAY,遠離,新的,餐廳,爺爺,0,0,0
BABY,嬰兒,餐廳,九,車站,0,0,0
BACK,在…後面,家,綠色,車站,0,0,0
BAD,壞的,喝,吃,好的,0,0,0
BADMINTON,羽毛球,六,猴子,魚,0,0,0
BAG,袋子,跑,麵包,父親,0,0,0
