word,meaning,option1,option2,option3,Ginger,River,Sigma
ABLE,有能力的,跳舞,感到驚訝的,看到,0,0,0
ABOUT,關於,恐龍,全然,產品,0,0,0
ABOVE,在,產品,(,菜單,0,0,0
ABROAD,在國外,恐龍,下雪的,銀子,0,0,0
ABSENT,缺席的,越過,粗心的,駕駛(飛機),0,0,0
ACCEPT,接受,節慶,午夜,有智慧的,0,0,0
ACCIDENT,意外,多(餘)的,傍(夜)晚,給建議,0,0,0
ACROSS,越過,學生,選舉出,廁所,0,0,0
ACT,行動,重量,攻擊,玩,0,0,0
ACTION,行動,我自己,(,制服,0,0,0
ACTIVE,主動,表達,抵達,這些,0,0,0
ACTIVITY,活動,忽視,舉起,青年,0,0,0
ACTOR,男演員,蛇,祈禱,講,0,0,0
ACTRESS,女演員,學到,喇叭,毯子,0,0,0
ACTUALLY,事實上,英雄,保齡球,強調,0,0,0
ADD,增加,餐廳,吼叫,消息(不可數),0,0,0
ADDRESS,地址,建議,感激,破裂,0,0,0
ADMIRE,羨慕,城鎮,極好的,駕駛(飛機),0,0,0
ADULT,成人,他們自己,後者的,字彙,0,0,0
ADVICE,(不可數),拇指,否定的,法律,0,0,0
ADVISE,給建議,帶有,設計,劃分,0,0,0
AFFECT,影響,後者的,道歉,樓梯,0,0,0
AFRAID,害怕的,遠的,母雞,除了,0,0,0
AFTER,在,摩托車,人,湯,0,0,0
AFTERNOON,下午,湯,甜的,烤肉,0,0,0
AGAIN,再次,菜單,發燒,美好,0,0,0
AGAINST,反對,垃圾,咖啡色(的),正方形,0,0,0
AGE,年齡,牌,停止,得到,0,0,0
AGO,在,地下道,姪子,空間,0,0,0
AGREE,同意,幾乎,皮包骨的,點,0,0,0
AHEAD,事先,不同的,前者的,鈕扣,0,0,0
AIM,目標,外交官,尤其是,下巴,0,0,0
AIR,空氣,鉛筆,頭腦,九,0,0,0
AIRLINES,航空公司,公升,項鍊,點餐,0,0,0
AIRPLANE,(,計程車,牛奶,討論,0,0,0
AIRPORT,機場,慣常地,真誠的,冷藏箱,0,0,0
ALARM,警鈴,雙倍的,感激,治療,0,0,0
ALBUM,相簿,手腕,教育,酷的,0,0,0
ALIKE,相像的,內衣,救護車,在,0,0,0
ALIVE,活著的,餐廳,存在,嚐(到),0,0,0
ALL,(,鈕扣,八月,鉛筆,0,0,0
ALLOW,允許,課,吞,圓胖的,0,0,0
ALMOST,幾乎,家人,痛苦,嗜好,0,0,0
ALONE,獨自的,玉米,爆米花,雨衣,0,0,0
ALONG,沿著,二月,糖,婚禮,0,0,0
ALOUD,大聲地,不同,感覺,蟑螂,0,0,0
ALPHABET,字母表,輸,農場,極冷的,0,0,0
ALREADY,已經,手,粗魯,高爾夫球,0,0,0
ALSO,也,廚房,飯店,八月,0,0,0
ALTHOUGH,雖然,黑板,她的,回答,0,0,0
ALTOGETHER,全然,何時,貼上,相當,0,0,0
ALWAYS,總是,正式的,(漢)堡,努力,0,0,0
AMBULANCE,救護車,膠水,房間,雨傘,0,0,0
AMERICA,美國,團隊,全然,餃子,0,0,0
AMERICAN,美國人,平日,拿取,指甲,0,0,0
AMONG,在,音樂,有耐心的,果汁,0,0,0
AMOUNT,數量,問題,告訴,得到,0,0,0
ANCIENT,古老的,活力,居住,行星,0,0,0
AND,和,抵達,我自己,音樂家,0,0,0
ANGEL,天使,山羊,中斷,感激,0,0,0
ANGER,怒氣,才華,生病,(淺)盤子,0,0,0
ANGRY,生氣的,正午,老鼠,健行,0,0,0
ANIMAL,動物,西方(的),等待,南瓜,0,0,0
ANKLE,腳踝,越過,垃圾,手勢,0,0,0
ANOTHER,(,教堂,在,包含,0,0,0
ANSWER,回答,尚未(否定),無尾熊,老師,0,0,0
ANT,螞蟻,燒,前者的,進步(不可數),0,0,0
ANYONE,(,笛子,雙倍的,假日,0,0,0
ANYTHING,任何事,燒,友誼,(用單數動詞),0,0,0
ANYWHERE,任何地方,原子筆,身體,電(動)的,0,0,0
APARTMENT,公寓,餐(點),打招呼,拒給,0,0,0
APOLOGIZE,道歉,他們自己,便利的,工作,0,0,0
APPEAR,出現,上升,膠水,耳朵,0,0,0
APPLE,蘋果,極好的,巢,畫畫,0,0,0
APPRECIATE,感激,橋,不同,鬼魂,0,0,0
APRIL,四月,尖銳的,餵食,原子筆,0,0,0
AREA,地區,聞(到),引擎,破裂,0,0,0
ARGUE,爭執(論),護士,分數,梳妝檯,0,0,0
ARM,手臂,帶有,吃,水桶,0,0,0
ARMCHAIR,扶手椅,皮夾,尺,甜點,0,0,0
ARMY,軍隊,複習,放置,講話,0,0,0
AROUND,在週圍,事先,約會,漁夫,0,0,0
ARRANGE,安排,膝蓋,購物中心,嘴巴,0,0,0
ARRIVE,抵達,輪子,茶壺,鑰匙,0,0,0
ART,美術,豬肉,天然的,座位,0,0,0
ARTIST,藝術家,有可能的,從,猜謎,0,0,0
ASK,問,蛇,有用的,聽到,0,0,0
ASLEEP,睡著的,受歡迎的,侵襲,發展,0,0,0
ASSISTANT,助理,週六,總是,襯衫,0,0,0
ASSUME,假設,可用的,暴風雨的,司機,0,0,0
ATTACK,攻擊,特別的,背心,期待,0,0,0
ATTENTION,注意力,使受傷,漂亮的,部分(的),0,0,0
AUGUST,八月,咖啡,(,衣櫥(櫃),0,0,0
AUNT,姑.姨.嬸.伯/舅母,下雨,歌曲,手機,0,0,0
AUTUMN,(,烏龜,(用字母)拼字,夾克,0,0,0
AVAILABLE,可用的,幾乎,翹翹板,農夫,0,0,0
AVOID,避免,姐妹,餐廳,在,0,0,0
AWAY,離開,仔細,爐灶,開槍,0,0,0
BABY,嬰兒,想要,討厭,建造,0,0,0
BACK,背部,打擊,一樣的,抵達,0,0,0
BACKPACK,背包,通常的,麵包店,拇指,0,0,0
BACKWARD,往後,島,窗簾,一刻,0,0,0
BAD,壞的,昆蟲,二月,鑽石,0,0,0
BADMINTON,羽毛球,錯誤,機器,金(黃)色(的),0,0,0
BAG,袋子,困難的,簽字筆,呆子,0,0,0
BAKE,烤,行動,分享,小孩,0,0,0
BAKERY,麵包店,城堡,表現,(,0,0,0
BALCONY,陽台,在,老闆,湖泊,0,0,0
BALLOON,氣球,幼稚的,天然的,溜冰,0,0,0
BANANA,香蕉,舌頭,蘇打(氣泡)水,世界,0,0,0
BAND,樂團,貧窮,選擇,樂器,0,0,0
BANK,銀行,美術,相信,架子,0,0,0
BARBECUE,烤肉,爵士,體育館,溫暖的,0,0,0
BARBER,理髮師,長凳,隧道,美麗,0,0,0
BARK,吠,初學者,週一,廁所,0,0,0
BASE,基地,謝謝,枯燥無趣的,裙子,0,0,0
BASEBALL,棒球,消失,獵人,令人愉悅的,0,0,0
BASEMENT,地下室,說謊,突然的,鉛筆,0,0,0
BASIC,基本的,困難的,蔬菜,火車,0,0,0
BASKET,籃子,便利的,騎,牛仔,0,0,0
BASKETBALL,籃球,鐵路,六十,正式的,0,0,0
BAT,蝙蝠,生命,隧道,使成對,0,0,0
BATH,沐浴,建議,畫畫,空氣,0,0,0
BATHE,沐浴,皮膚,床,中間的,0,0,0
BATHROOM,浴室,飛盤,感到興奮的,東方(的),0,0,0
BEACH,海邊,二,借(出),結婚,0,0,0
BEAN,豆子,手指,繼續,露營,0,0,0
BEAR,熊,虛弱的,傑出的,塔,0,0,0
BEARD,鬍子,市區,事實,感到興奮的,0,0,0
BEAT,打,鈕扣,贏家,玫瑰花,0,0,0
BEAUTIFUL,漂亮的,籃子,比較,城市,0,0,0
BEAUTY,美麗,親戚,公里,得到,0,0,0
BECAUSE,因為,敵人,樹,除,0,0,0
BECOME,成為,親吻,傷心的,寶藏,0,0,0
BED,床,(小)杯子,享受,四十,0,0,0
BEDROOM,臥室,請,瀑布,年,0,0,0
BEE,蜜蜂,月(份),六十,玩,0,0,0
BEEF,牛肉,血,取消,手指,0,0,0
BEER,啤酒,喉嚨,建築物,樂趣,0,0,0
BEFORE,在,結婚的,意思,較少的,0,0,0
BEGIN,開始,地毯,泥漿,牛,0,0,0
BEGINNER,初學者,液體,國家,技巧,0,0,0
BEGINNING,開始,鴿子,餵食,晴朗的,0,0,0
BEHAVE,表現,垃圾,和平(不可數),行動,0,0,0
BEHIND,在,三角形,村莊,月(日)曆,0,0,0
BELIEVE,相信,多霧的,繩子,轉角,0,0,0
BELL,鈴,青少年,存在,炸彈,0,0,0
BELONG,(,沙子,訊息,斑,0,0,0
BELOW,在,真地,(,癌症,0,0,0
BELT,皮帶,小提琴,但願,玻璃杯,0,0,0
BENCH,長凳,蘋果,山,蒸氣,0,0,0
BESIDE,在,膝蓋,衣架,袋子,0,0,0
BESIDES,除了,描述,感到無聊的,螢幕,0,0,0
BETWEEN,在,畫畫,蒸氣,任何地方,0,0,0
BEYOND,超越於,籠子,保持,計程車,0,0,0
BICYCLE,(,理髮,美國,強壯的,0,0,0
BIG,大的,猴子,右邊(的),烤,0,0,0
