word,meaning,option1,option2,option3,Ginger,River,Sigma
ABLE,有能力的,跳舞,感到驚訝的,看到,0,0,0
ABOUT,關於,恐龍,全然,產品,0,0,0
ABOVE,在,產品,(,菜單,0,0,0
ACT,行動,重量,攻擊,玩,0,0,0
ACTOR,男演員,蛇,祈禱,講,0,0,0
ADD,增加,餐廳,吼叫,消息(不可數),0,0,0
ADULT,成人,他們自己,後者的,字彙,0,0,0
AFTER,在,摩托車,人,湯,0,0,0
AGAIN,再次,菜單,發燒,美好,0,0,0
AGE,年齡,牌,停止,得到,0,0,0
AGO,在,地下道,姪子,空間,0,0,0
AGREE,同意,幾乎,皮包骨的,點,0,0,0
AHEAD,事先,不同的,前者的,鈕扣,0,0,0
AIM,目標,外交官,尤其是,下巴,0,0,0
AIR,空氣,鉛筆,頭腦,九,0,0,0
ALARM,警鈴,雙倍的,感激,治療,0,0,0
ALBUM,相簿,手腕,教育,酷的,0,0,0
ALIKE,相像的,內衣,救護車,在,0,0,0
ALIVE,活著的,餐廳,存在,嚐(到),1,0,0
ALL,(,鈕扣,八月,鉛筆,0,0,0
ALLOW,允許,課,吞,圓胖的,0,0,0
ALONE,獨自的,玉米,爆米花,雨衣,0,0,0
ALONG,沿著,二月,糖,婚禮,0,0,0
ALOUD,大聲地,不同,感覺,蟑螂,0,0,0
ALSO,也,廚房,飯店,八月,0,0,0
AMONG,在,音樂,有耐心的,果汁,0,0,0
AND,和,抵達,我自己,音樂家,0,0,0
ANGEL,天使,山羊,中斷,感激,0,0,0
ANGER,怒氣,才華,生病,(淺)盤子,0,0,0
ANGRY,生氣的,正午,老鼠,健行,0,0,0
ANKLE,腳踝,越過,垃圾,手勢,0,0,0
ANT,螞蟻,燒,前者的,進步(不可數),0,0,0
APPLE,蘋果,極好的,巢,畫畫,0,0,0
APRIL,四月,尖銳的,餵食,原子筆,0,0,0
AREA,地區,聞(到),引擎,破裂,0,0,0
ARGUE,爭執(論),護士,分數,梳妝檯,0,0,0
ARM,手臂,帶有,吃,水桶,0,0,0
ARMY,軍隊,複習,放置,講話,0,0,0
ART,美術,豬肉,天然的,座位,0,0,0
ASK,問,蛇,有用的,聽到,0,0,0
AUNT,姑.姨.嬸.伯/舅母,下雨,歌曲,手機,0,0,0
AVOID,避免,姐妹,餐廳,在,0,0,0
AWAY,離開,仔細,爐灶,開槍,0,0,0
BABY,嬰兒,想要,討厭,建造,0,0,0
BACK,背部,打擊,一樣的,抵達,0,0,0
BAD,壞的,昆蟲,二月,鑽石,0,0,0
BAG,袋子,困難的,簽字筆,呆子,0,0,0
BAKE,烤,行動,分享,小孩,0,0,0
BAND,樂團,貧窮,選擇,樂器,0,0,0
BANK,銀行,美術,相信,架子,0,0,0
BARK,吠,初學者,週一,廁所,0,0,0
BASE,基地,謝謝,枯燥無趣的,裙子,0,0,0
BASIC,基本的,困難的,蔬菜,火車,0,0,0
BAT,蝙蝠,生命,隧道,使成對,0,0,0
BATH,沐浴,建議,畫畫,空氣,0,0,0
BATHE,沐浴,皮膚,床,中間的,0,0,0
BEACH,海邊,二,借(出),結婚,0,0,0
BEAN,豆子,手指,繼續,露營,0,0,0
BEAR,熊,虛弱的,傑出的,塔,0,0,0
BEARD,鬍子,市區,事實,感到興奮的,0,0,0
BEAT,打,鈕扣,贏家,玫瑰花,0,0,0
BED,床,(小)杯子,享受,四十,0,0,0
BEE,蜜蜂,月(份),六十,玩,0,0,0
BEEF,牛肉,血,取消,手指,0,0,0
BEER,啤酒,喉嚨,建築物,樂趣,0,0,0
BEGIN,開始,地毯,泥漿,牛,0,0,0
BELL,鈴,青少年,存在,炸彈,0,0,0
BELOW,在,真地,(,癌症,0,0,0
BELT,皮帶,小提琴,但願,玻璃杯,0,0,0
BENCH,長凳,蘋果,山,蒸氣,0,0,0
BIG,大的,猴子,右邊(的),烤,0,0,0
BILL,帳單,吞,安全的,打開,0,0,0
BIRD,鳥,注意,母親,穀物麥片,0,0,0
BITE,咬,十七,校長,空氣,0,0,0
BLACK,黑色(的),耳朵,想像,美術,0,0,0
BLAME,責罵,豆腐,灰色(的),洋裝,0,0,0
BLANK,空格,珍貴的,睡覺,機會,0,0,0
BLESS,祝福,和平(不可數),週四,古老的,0,0,0
BLIND,盲的,髒的,蝦子,扶手椅,0,0,0
BLOCK,街區,(,風(習)俗,女神,0,0,0
BLOOD,血,掃地,(,在,0,0,0
BLOW,吹,強壯的,拒絕,蛋,0,0,0
BLUE,藍色(的),(,小販,島,0,0,0
BOARD,板,越過,冷酷的,紳士,0,0,0
BOAT,小船,頻道,請客,膠水,0,0,0
BODY,身體,使驚訝,醬油,歡迎,0,0,0
BOIL,煮沸,週一,紳士,同意,0,0,0
BOMB,炸彈,下午,追蹤,醬油,0,0,0
BONE,骨頭,越過,最後,樂團,0,0,0
BOOK,書,藍色(的),走路,厚的,0,0,0
BORED,感到無聊的,昂貴的,榔頭,意外,0,0,0
BORN,出生的,人群,牙齒,髒的,0,0,0
BOSS,上司,穀物麥片,網子,袋子,0,0,0
BOTH,兩者(都),鋼琴,從不,鬼魂,0,0,0
BOW,鞠躬,主要的,教室,往,0,0,0
BOWL,碗,羔羊,游泳,報紙,0,0,0
BOY,男孩,大學,捉,浴缸,0,0,0
BRAVE,勇敢的,十一,明天,筆記,0,0,0
BREAD,麵包,救護車,相當地,啤酒,0,0,0
BREAK,破裂,小說,(,基地,0,0,0
BRICK,磚塊,處罰,尤其是,餐廳,0,0,0
BRING,帶來,僱用,圓,七十,0,0,0
BROAD,寬廣的,長凳,問,教,0,0,0
BROWN,咖啡色(的),相似的,廁所,完美的,0,0,0
BRUSH,刷,不快樂的,脖子,國王,0,0,0
BUG,(小)蟲,準備,正面的,事件,0,0,0
BUILD,建造,聾的,厚的,奇怪的,0,0,0
BUN,小圓麵包,結婚,團體,寺廟,0,0,0
BURN,燒,磚塊,往後,需要,0,0,0
BURST,迸裂,鳥,穀物麥片,天花板,0,0,0
BUS,公車,液體,上面(的),想家的,0,0,0
BUSY,忙碌的,粉末(不可數),歡迎,書房,0,0,0
BUT,但是,開始,慶祝,兔子,0,0,0
BUY,買,卡通,擁抱,羔羊,0,0,0
CABLE,電纜線,南瓜,獨自的,計畫,0,0,0
CAGE,籠子,男服務生,小氣的,檢查,0,0,0
CAKE,蛋糕,怪物,軍隊,一打,0,0,0
CALL,打電話,音樂,午夜,牆(壁),0,0,0
CALM,使冷靜,鑰匙,外交官,記得,0,0,0
CAMP,露營,紫色(的),哈囉,把戲,0,0,0
CAN,罐頭,飛盤,領帶,平躺,0,0,0
CANDY,糖果,影響力,大門,居住,0,0,0
CAP,(鴨舌)帽,戲劇,狀態,最後的,0,0,0
CAR,汽車,茶,分鐘,月亮,0,0,0
CARD,牌,幽默,文化,它自己,0,0,0
CARE,關心,歌手,遊戲,(海,0,0,0
CARRY,攜帶,中間的,(用單數動詞),複習,0,0,0
CASE,盒子,人,(寬圓)帽,勇氣(不可數),0,0,0
CAT,貓,飢餓的,地圖,怒氣,0,0,0
CATCH,捉,幾乎,乘客,壓力(不可數),0,0,0
CAUSE,因素,握,請,沿著,0,0,0
CENT,分(錢),相像的,麵包,錄影機(帶),0,0,0
CHAIR,椅子,人行道,你們自己,小孩,0,0,0
CHART,表格,轉角,頭暈的,半(小時),0,0,0
CHASE,追逐,必定,坐(下),自然,0,0,0
CHEAP,便宜的,破裂,慢跑,拒給,0,0,0
CHEAT,欺騙,不可能的,考不及格,音樂,0,0,0
CHECK,檢查,雖然,假期,帥的,0,0,0
CHESS,西洋棋,想要,零食,袋子,0,0,0
CHILD,小孩,合約,美麗,右邊(的),0,0,0
CHIN,下巴,出去,最新的,開始,0,0,0
CHINA,中國,唱歌,曾經,貪心的,0,0,0
CITY,城市,社會的,使冷靜,制服,0,0,0
CLAP,拍(手),洋蔥,僱用,死亡的,0,0,0
CLASS,班級,床單,抽菸,尊敬,0,0,0
CLEAN,打掃,生病,樂團,朋友,0,0,0
CLEAR,晴朗的,往前,玩具,雪,0,0,0
CLERK,店員,友誼,外交官,腳,0,0,0
CLIMB,攀爬,屋頂,跳舞,姑.姨.嬸.伯/舅母,0,0,0
CLOCK,時鐘,墨水,牙痛,雜誌,0,0,0
CLOSE,關閉,公園,玩,準備,0,0,0
CLOUD,雲,太陽,火雞,高度,0,0,0
CLUB,社團,動物園,主要的,盒子,0,0,0
COACH,教練,切(薄)片,花園,黑色(的),0,0,0
COAST,海岸,海鮮,死亡,球員,0,0,0
COAT,(西裝)外套,那些,女人,真地,0,0,0
COIN,硬幣,大方,在,聽(到),0,0,0
COLA,可樂,依靠,污染,空氣,0,0,0
COLD,感冒,狀態,句子,恐懼,0,0,0
COLOR,顏色,商店,在,禮物,0,0,0
COMB,梳子,海邊,尤其是,遲(晚)的,0,0,0
COME,來,平底鍋,部分,大學,0,0,0
COMIC,漫畫,遠的,出去,約會,0,0,0
